Territori,Tipus de territori,1r tr 2000,2n tr 2000,3r tr 2000,4t tr 2000,1r tr 2001,2n tr 2001,3r tr 2001,4t tr 2001,1r tr 2002,2n tr 2002,3r tr 2002,4t tr 2002,1r tr 2003,2n tr 2003,3r tr 2003,4t tr 2003,1r tr 2004,2n tr 2004,3r tr 2004,4t tr 2004,1r tr 2005,2n tr 2005,3r tr 2005,4t tr 2005,1r tr 2006,2n tr 2006,3r tr 2006,4t tr 2006,1r tr 2007,2n tr 2007,3r tr 2007,4t tr 2007,1r tr 2008,2n tr 2008,3r tr 2008,4t tr 2008,1r tr 2009,2n tr 2009,3r tr 2009,4t tr 2009,1r tr 2010,2n tr 2010,3r tr 2010,4t tr 2010,1r tr 2011,2n tr 2011,3r tr 2011,4t tr 2011,1r tr 2012,2n tr 2012,3r tr 2012,4t tr 2012,1r tr 2013,2n tr 2013,3r tr 2013,4t tr 2013,1r tr 2014,2n tr 2014,3r tr 2014,4t tr 2014,1r tr 2015,2n tr 2015,3r tr 2015,4t tr 2015,1r tr 2016,2n tr 2016,3r tr 2016,4t tr 2016,1r tr 2017,2n tr 2017,3r tr 2017,4t tr 2017,1r tr 2018,2n tr 2018,3r tr 2018,4t tr 2018,1r tr 2019,2n tr 2019,3r tr 2019,4t tr 2019,1r tr 2020,2n tr 2020,3r tr 2020,4t tr 2020,1r tr 2021,2n tr 2021,3r tr 2021,4t tr 2021,1r tr 2022,2n tr 2022,3r tr 2022,4t tr 2022,1r tr 2023,2n tr 2023,3r tr 2023,4t tr 2023,1r tr 2024
Les Corts,Districte,527.6255,566.706,589.8479,596.0183,658.4824,533.51,629.9279,684.0264,630.0701,591.6774,583.9256,671.5496,599.1605,646.8586,724.4231,696.7629,651.2998,685.9427,723.8539,735.9867,743.2577,653.2798,794.1226,790.4583,765.9658,793.7357,866.5938,876.9742,957.98,924.22,991.03,943.92,958.4476,938.3701,1020.0922,1024.2444,911.84,956.4,920.76,942.92,878.87,916.56,926.58,907.83,887.1531,874.3652,895.1002,903.4492,878.2372,835.954,885.3792,868.7494,827.818,825.2648,826.7125,826.8924,808.6391,845.7945,864.3804,885.8841,862.3686,881.679,978.626,955.1428,923.3685598,971.1785,1007.843201,1019.664122,1005.336918,1043.363604,1089.05457,1060.762621,1095.783862,1046.447825,1142.158622,1062.781248,1111.203033,1131.549452,1179.693487,1200.672379,1105.120081,1117.433722,1143.244767,1088.795068,1027.36765,1032.343284,1080.251228,1071.325785,1081.792781,1133.732138,1255.390616,1259.232451,1190.228477,1272.824124,1363.334256,1376.217863,1388.189003
les Corts,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,777.2330631,765.28917,786.2928814,802.2303704,822.362654,817.2413333,860,909.2657,892.6975325,912.5292,949.9659688,983.475627,936.3153618,1006.842932,1013.567869,1043.755333,1002.342385,1038.73389,1077.991418,1031.455472,1070.03476,1085.119446,1113.918626,1116.155205,1069.875466,1096.621879,1058.070061,1037.881931,990.2626823,998.7958005,1017.024013,1052.832692,995.0340385,1067.763182,1203.364347,1227.190491,1102.300962,1242.581577,1260.58684,1285.720138,1321.845161
la Maternitat i Sant Ramon,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,700.1635,748.6379245,768.4556548,806.4308661,727.9878049,679.5447788,814,764.7748,777.8583495,821.1983,892.2771591,866.4286301,896.44675,882.0513287,970.7068421,935.3797753,948.7652555,959.2595597,1013.27767,960.0297849,938.4901361,972.979172,1040.340145,1078.062929,989.6270992,946.1025,1012.393741,993.2705076,927.2615254,904.7700592,982.8984236,920.5588764,1018.627152,993.0542748,1107.234034,1154.433008,1105.763168,1140.022273,1251.415263,1277.736344,1202.125826
Pedralbes,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1230,1459.1234,1506.202787,1762.063158,1250.829787,1711.449111,2034,1860.295,1572.561471,1660.4271,1689.603509,1692.2042,1856.57125,1666.627273,1882.423729,1737.92381,1799.907639,1563.3125,1849.519324,1615.309455,1732.456984,1746.707692,1950.05493,2023.354464,1626.9332,1822.74,1932.290667,1577.148611,1598.208571,1680.295472,1816.527424,1679.340357,1649.839091,1944.513043,1946.078636,1737.350196,1901.018125,1728.394561,2174.299111,2078.578537,2118.676327
Sarrià-Sant Gervasi,Districte,648.8497,670.864,607.8371,604.2165,630.6671,657.3517,689.5824,656.7981,738.9385,743.6469,728.3925,756.3253,742.4053,743.0561,746.797,811.024,854.0262,822.3766,814.2245,807.9775,832.1938,900.3064,876.9183,846.508,796.7786,908.8405,986.7757,979.2557,1006.26,1005.04,1027.3,1019.87,1060.3716,1071.7245,1084.8831,1104.7692,1081.81,1013.72,1054.7,986.92,999.79,986.28,988.91,1017.67,979.3485,1043.8371,1044.723,999.3443,1017.0856,980.5086,975.3882,970.3131,938.3019,927.6839,936.1729,939.1187,971.1756,956.5716,1004.7831,977.8439,977.3297,1021.9436,1126.9938,1066.9942,1099.940802,1125.7974,1157.091791,1186.358114,1182.459339,1226.808203,1291.897274,1210.579046,1223.172129,1241.539692,1319.548901,1286.501681,1266.129817,1297.692471,1335.048369,1360.828778,1325.320719,1285.345346,1322.401716,1281.190568,1229.019796,1238.314677,1252.044798,1265.658624,1264.945817,1362.366825,1467.66851,1446.406101,1442.385427,1553.568604,1668.839327,1563.162542,1651.792452
"Vallvidrera, el Tibidabo i les Planes",Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,837.3333333,1051.222857,988.6608333,1754.444444,1335.714286,824.375,1119,841.0961,933.9472222,1117.7181,1302.142857,1354.615385,1248,1101.666667,1360.416667,1213.947368,895.6956522,860.1278571,1102.291667,898.3333333,1103.495882,1121.55,1355.47619,1220,1191.3,1078.111111,1192.758621,1390,1531.6545,1074.722222,1009.545455,1214.47619,1102.235294,894.907931,1364.746364,1135.15,991.0714286,1240.863636,1443.916667,1383.357143,1337.84375
Sarrià,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1042.156881,1030.349316,1081.13539,1004.365074,917.1345133,1101.151038,1156,1227.3481,1195.681452,1197.6165,1172.860392,1185.84646,1291.498933,1423.85795,1364.011818,1334.773247,1249.230571,1332.326471,1443.709648,1422.798252,1297.717912,1334.222139,1449.458571,1398.350694,1417.740005,1432.230824,1314.407211,1338.389362,1263.864175,1298.031759,1345.185932,1292.8725,1362.607748,1349.267485,1541.439,1443.460613,1359.01439,1559.900641,1641.53875,1593.125278,1622.445946
les Tres Torres,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1215.84507,1327.216,1386.129398,1352.08075,1335.629692,1337.792031,1462,1385.9886,1380.678784,1560.7031,1619.044286,1490.719208,1516.522941,1646.76,1757.000652,1588.526316,1613.414175,1467.069174,1746.00973,1567.908163,1645.899121,1602.490899,1614.833394,1744.970084,1662.383,1679.125,1699.421714,1729.505225,1577.994953,1429.03883,1566.501667,1597.425556,1630.787222,1766.9825,1990.2035,1824.198778,1750.244762,1859.844545,2246.59137,1926.957429,2048.53591
Sant Gervasi - la Bonanova,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,927.6345,920.6194304,963.5714,948.2618919,954.0047586,1056.065444,1073,1076.8026,1116.513412,1096.7345,1083.531179,1197.715859,1182.120517,1236.208535,1324.397826,1198.236009,1247.695045,1288.821197,1322.611289,1283.243265,1226.397702,1309.966306,1317.009582,1361.577708,1311.489489,1272.127738,1321.92599,1285.981957,1264.805359,1226.09727,1159.636172,1219.560558,1195.045477,1369.077184,1473.111864,1422.496333,1511.126201,1496.781193,1555.84958,1478.664575,1660.174345
Sant Gervasi - Galvany,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1053.696485,1006.563868,1078.839887,1047.503573,1088.659615,1095.702215,1262,1153.9314,1187.569323,1189.1012,1278.65504,1298.951863,1268.61005,1287.228533,1377.817575,1315.801544,1310.420499,1328.143389,1374.319501,1374.82417,1357.862627,1360.339779,1412.240369,1455.90343,1388.946581,1304.420995,1427.908944,1307.111117,1294.866968,1339.117462,1352.477703,1433.675658,1341.522782,1484.512593,1550.100468,1599.843487,1564.999844,1730.455013,1833.552325,1677.035043,1780.558282
el Putxet i el Farró,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,750.8351869,761.3527074,766.3291837,761.69876,758.44225,790.2137815,840,808.3764,827.8194643,891.6309,876.7722939,904.1692593,913.4506835,902.4211481,962.4050523,938.2014876,946.6492527,972.8910794,1021.271975,1031.54026,1057.059369,1115.706746,1070.235291,1099.756797,1053.873407,1073.282158,1073.445241,1033.258528,990.0526984,1024.425714,1004.691342,998.271301,1054.910997,1108.606785,1149.912963,1151.67706,1194.316118,1242.757012,1284.948299,1310.469486,1331.20675
Gràcia,Districte,348.6179,372.0345,393.214,374.2426,385.8455,410.2002,432.7128,462.6536,546.9816,466.5121,469.6012,497.5745,480.5069,484.1536,513.4386,543.3818,505.4963,545.2024,580.7737,561.7869,610.1008,618.5389,620.8169,632.7961,633.1862,652.0109,686.2983,703.3951,728.48,720.85,760.13,758.85,766.5676,781.1006,812.8874,807.3109,782.14,768.36,748.58,756.36,743.04,742.35,746.71,725.09,735.5641,724.6583,750.4213,736.8386,716.1451,717.6157,702.858,691.5546,653.579,655.9184,659.7142,667.1353,669.8033,665.8669,683.8661,676.1359,704.0304,708.1526,734.4149,736.9858,754.2537401,764.2768,814.3501633,813.9317827,845.4034552,859.3795213,868.0551935,853.1328581,881.1135687,897.2035602,910.0575739,929.6239419,920.7182964,957.6450291,976.7359921,974.3991587,955.7498036,967.9308456,948.3758872,939.3719699,894.3560964,880.5643148,898.1051092,912.9468307,961.0205233,973.1688421,1031.361052,1033.772517,1091.686861,1099.891551,1149.392092,1143.534152,1200.333355
Vallcarca i els Penitents,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,679.6592,648.3241237,642.6576636,691.9391304,777.2461728,712.7510185,713,745.3061,741.4233607,755.8546,830.2372897,818.6859701,946.5864925,917.838871,912.5120155,875.5342424,886.2678571,939.032197,905.8221302,971.5128148,907.5120833,1028.920496,953.7279137,987.0365823,966.437,1060.477818,909.8674359,1026.817535,958.9825806,924.4578082,960.9509938,920.1052229,947.7594215,969.3362308,1073.612867,1023.614483,1128.544597,1115.926446,1127.984875,1189.248182,1236.539176
el Coll,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,583.9302326,551.400625,537.1478723,552.7513889,576.4393939,539.5789474,576,542.7059,590.5333333,592.7635,635.1454545,653.6923077,687.4222222,701.2888889,799.44,711.5666071,741.2265,716.2538596,756.3558929,748.9012,750.5714286,819.84875,813.7659574,817.5474194,814.7792593,910.2631579,777.6052381,790.4002128,745.4392308,796.7542593,755.5209677,754.4684127,809.89875,759.223913,839.9437736,816.625,899.5325581,969.0540541,918.7878125,908.4680851,1011.394737
la Salut,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,634.4807792,702.3317105,684.2815278,655.8694186,673.2015584,637.8094828,743,751.7185,684.470641,772.9648,855.890274,784.9071084,841.3759302,855.697619,804.2649438,741.2931293,815.6225275,883.5205405,870.3138202,930.0915238,883.3675728,899.19375,926.407732,954.4281897,939.682125,998.5227027,1001.200357,941.5195714,859.1470297,859.1512264,934.6122115,899.882973,874.3055208,1010.255,997.4826214,940.3627928,1011.383444,1075.392,1118.295536,1187.309588,1220.032676
la Vila de Gràcia,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,679.7975586,673.7904211,691.685286,681.2547257,707.1678478,726.6121532,742,749.2417,764.0151356,773.6644,827.812422,829.2296095,837.0893209,852.5699511,867.9419617,879.8479865,899.6527917,913.3374247,923.3931571,927.0596581,933.4293411,951.1931464,991.4642033,975.744957,963.608985,950.9242345,956.5178788,943.1541342,910.6128,880.9938573,891.6075505,920.9126743,985.9649483,982.6355556,1043.413555,1062.007208,1106.850879,1108.069037,1152.757364,1148.115561,1197.685737
el Camp d'en Grassot i Gràcia Nova,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,670.9973869,665.44447,711.1381855,681.2573626,701.6942035,712.642636,752,735.7637,802.6935849,780.3591,805.8711494,823.7218265,839.2922594,872.4074517,880.0046863,862.5119167,884.5536119,885.4037802,924.8148012,945.8137539,937.2897068,978.2523973,996.3335093,1017.553075,967.9380952,968.6826984,958.1891837,928.8085,865.2631282,880.1430532,899.6904571,926.4823851,957.8604152,977.7849123,1032.535192,1059.035198,1105.058072,1101.862826,1196.196488,1159.641905,1219.546089
Horta-Guinardó,Districte,320.2788,322.6834,333.3472,362.064,344.5035,378.0308,387.3136,436.6365,420.103,423.4996,415.0082,425.2409,444.3348,458.2344,449.7458,495.8497,482.2233,488.9781,510.266,521.3719,529.9142,545.4065,552.797,579.8024,621.3319,634.3114,629.0508,636.1191,642.38,657.26,660.96,680.75,688.2535,725.5468,731.6623,727.8593,719.86,691.12,686.93,671.3,662.58,647.66,660.69,640.86,641.2771,641.8781,636.7111,627.5243,618.8665,608.4397,604.0407,592.8868,579.3277,568.8592,556.8379,560.1757,557.1015,560.6002,564.1158,573.1415,574.4597,580.3156,586.6324,602.5928,611.6838927,614.1346,647.5846711,684.3450578,685.5638051,694.9655728,724.1547389,719.0902161,736.7357117,734.1576799,762.6088669,752.5691718,776.6092964,785.7283071,805.1622597,812.2992821,818.4413614,810.3152442,811.377125,763.9599696,761.0145248,763.7867838,779.2739357,771.6331321,762.0508004,804.801856,844.9239959,865.7483381,880.8634995,909.1799764,922.1414465,960.5626076,973.58117
el Baix Guinardó,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,622.6319858,610.8711656,613.1702,638.5508844,653.1550388,631.0482979,636,649.0854,696.6858678,642.905,718.5011258,747.3121965,743.8816092,756.132426,804.2617647,773.0246734,832.6308072,817.3838393,839.472963,827.0420904,859.1284848,866.8428977,902.2276531,897.652029,920.7653165,916.1361176,900.9708889,845.5829949,817.3333755,820.1615962,836.2889352,820.9757789,834.7349697,903.8659887,948.7394012,954.2097714,1015.309931,1052.637415,1022.742908,1020.916571,1042.645794
Can Baró,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,568.9361702,525.0408,536.0437681,545.1114894,521.0625,539.5558491,586,550.4862,595.9210526,632,645.6603774,658.7377049,637.3035714,710.178125,698.0294118,693.6482716,721.4610909,737.382716,766.8181818,727.0481928,791.2475676,764.5409836,762.5192308,755.9102564,816.4422642,739.2857143,848.5368254,716.3071429,741.1351515,773.5121538,753.6513333,757.7152113,737.6371212,812.3844681,831.8515254,847.3785075,907.0437037,885.7692308,826.8222222,943.6064103,967.28
el Guinardó,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,586.5033831,564.0967364,585.3929362,590.3119753,601.0572626,596.1494472,620,630.9889,646.7626549,634.754,679.3920548,705.7094118,722.6712554,722.2822807,739.6779412,759.0597068,736.795371,758.6128676,797.8380992,796.3530108,789.8319454,824.9943816,819.7126957,843.1496416,840.991341,860.4446094,825.8061009,786.4691398,791.7267823,818.1605034,823.6066881,802.602907,801.7048047,809.9859846,872.6085944,899.4236268,913.7383402,953.1832394,970.9713115,1030.484902,1023.093842
la Font d'en Fargues,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,585.4542857,772.4074074,703.1481481,784.4444444,733.8076923,749.2307692,611,775.2941,749.8148148,689.6636,675.6944444,761.28125,812.9310345,721.46875,922.75,822.8205128,824.1176471,756.71875,876.5837209,840.5172414,796.5,1044.037273,880.1612903,850.855814,928.2894737,997.3333333,926.5384615,856.3868966,795.0209091,817.6896552,817.2643243,835.3005405,784.6646667,840.0942857,880.2962963,1013.898077,962.0740741,1093.571429,1030.757576,1126.185313,1126.137931
el Carmel,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,478.7004667,495.0096386,498.7878344,506.2621951,485.7373154,504.6059441,528,528.7661,518.2354601,550.2959,557.5508966,597.1266667,597.0917935,597.5799444,610.1333544,609.1050259,634.7498077,637.170049,654.767,653.2071579,670.6008152,666.914375,703.3125,700.1668878,707.9001111,682.7857143,705.9520548,651.3968,668.7672093,667.5668182,679.2798889,683.8196178,671.2829747,725.8053165,753.2008434,754.1397727,759.6530857,769.7615484,769.7338235,814.3975,853.7656429
la Teixonera,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,492.7888889,476.9386441,469.7698462,506.7675,505.0175439,547.2471698,498,527.5344,513.5334722,544.5591,570.1027632,672.6450588,663.9038961,671.854557,643.7351563,616.3233333,690.8076923,682.4437838,705.6005952,721.2297647,704.440678,725.8961039,773.7221212,747.2702299,741.2840984,695.55,748.5082609,678.9692308,716.1292208,713.7782432,686.3212676,739.668125,723.878,786.5415385,810.5245679,788.5610606,810.6932836,818.6839683,889.125,881.748871,934.0876667
Sant Genís dels Agudells,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,557,568.75,542.5111111,550.4528302,543.3333333,558.4883721,554,545.8222,616.3636364,592.3631,603.75,623.5952381,622.325,680.7954545,713.377551,672.7027027,648.0952381,646.8333333,660.9259259,666.9084746,759.1764706,705.1,756,740.1666667,698.90625,791.3181818,787.4,671.6889655,700.5052273,653.5294118,785.624,675.7425,706.4205882,720.2726316,759.0192308,755,830.999,782.4444444,863.76,816.2416129,796.4168085
Montbau,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,537.9363636,535.8823529,578.5,544.4736842,608.87,621.7586207,626,654.0909,614.7916667,635.1389,646.4285714,668.4615385,716.4285714,677.0889474,749,754.692,717.775,716.1764706,763.8157895,750.952381,780.3571429,802.3958333,792.3684211,798.4677551,788.0540541,758.9,770.2222222,798.3110714,741.4268421,729.9015789,745.8660526,744.24,736.1362222,750.7177778,853.5,844.9756098,856.8125,890.4074074,880.867037,950.0294118,957.7745161
la Vall d'Hebron,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,737.7272727,675.625,715,672.2222222,740,701.4285714,655,689.7826,692.3529412,786.3156,796.9230769,778.6666667,816.0526316,819.108,805.8695652,865.4166667,874.2,864.7222222,822.3076923,876.6451613,870.1571429,796.6330769,830,954.4642857,963.4375,879.1666667,830,817.0826087,827.0446429,884.1553846,878.0833333,859.1493333,888.8542105,865.3466667,907.3353846,928.6741935,927.0244444,914.3333333,943.2142857,1031.770909,1030.930286
la Clota,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,368,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Horta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,556.3031193,566.6726316,562.8594309,585.5776531,585.5429268,568.3132432,572,594.186,601.3474638,620.0546,634.352,668.655,669.8895652,708.6949219,704.5735152,708.8840397,748.1901911,742.5111667,754.534966,745.3502395,776.9957576,760.5831293,788.6486429,802.5273446,815.6542759,767.6229508,788.0365041,747.483,747.4025455,734.9025309,754.9053503,760.3678431,740.3040645,794.201875,814.13,863.9070946,854.750915,881.0933333,894.405,961.4641463,1002.478083
