Territori,Tipus de territori,1r tr 2000,2n tr 2000,3r tr 2000,4t tr 2000,1r tr 2001,2n tr 2001,3r tr 2001,4t tr 2001,1r tr 2002,2n tr 2002,3r tr 2002,4t tr 2002,1r tr 2003,2n tr 2003,3r tr 2003,4t tr 2003,1r tr 2004,2n tr 2004,3r tr 2004,4t tr 2004,1r tr 2005,2n tr 2005,3r tr 2005,4t tr 2005,1r tr 2006,2n tr 2006,3r tr 2006,4t tr 2006,1r tr 2007,2n tr 2007,3r tr 2007,4t tr 2007,1r tr 2008,2n tr 2008,3r tr 2008,4t tr 2008,1r tr 2009,2n tr 2009,3r tr 2009,4t tr 2009,1r tr 2010,2n tr 2010,3r tr 2010,4t tr 2010,1r tr 2011,2n tr 2011,3r tr 2011,4t tr 2011,1r tr 2012,2n tr 2012,3r tr 2012,4t tr 2012,1r tr 2013,2n tr 2013,3r tr 2013,4t tr 2013,1r tr 2014,2n tr 2014,3r tr 2014,4t tr 2014,1r tr 2015,2n tr 2015,3r tr 2015,4t tr 2015,1r tr 2016,2n tr 2016,3r tr 2016,4t tr 2016,1r tr 2017,2n tr 2017,3r tr 2017,4t tr 2017,1r tr 2018,2n tr 2018,3r tr 2018,4t tr 2018,1r tr 2019,2n tr 2019,3r tr 2019,4t tr 2019,1r tr 2020,2n tr 2020,3r tr 2020,4t tr 2020,1r tr 2021,2n tr 2021,3r tr 2021,4t tr 2021,1r tr 2022,2n tr 2022,3r tr 2022,4t tr 2022,1r tr 2023,2n tr 2023,3r tr 2023,4t tr 2023,1r tr 2024
Nou Barris,Districte,312.8769,344.645,333.0103,338.9595,341.6296,357.9529,355.6049,418.1126,474.2829,390.6853,420.3646,420.9841,418.3575,425.6176,443.3875,460.9111,465.2254,452.5333,486.8068,485.0857,479.0127,540.1696,531.6398,502.7448,596.8848,547.3019,586.286,600.3746,584.33,629.18,667.15,653.1,652.898,670.8233,686.864,695.3796,680.94,660.22,636.61,641.59,634.94,619.93,619.13,613.86,615.234,610.6517,612.7394,599.1967,576.3146,555.5738,538.8029,536.7746,525.4205,516.6238,507.2951,505.6662,489.8155,497.1716,489.5242,520.816,504.146,513.1776,521.6656,534.0516,530.8322595,548.659,563.9937538,600.2862465,615.7435235,605.6744931,630.7801984,646.5222921,651.9259056,670.2907881,680.8824423,694.1154535,694.9968284,704.6772873,702.182521,715.8004358,695.8870816,703.7893557,735.4736603,688.4210638,679.180197,680.4073697,681.6117206,697.2689207,680.839834,714.0028793,748.5996348,774.1608867,762.4746015,796.2413424,804.7991028,832.6620833,828.7142748
Vilapicina i la Torre Llobeta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,555.8912,573.2356481,567.2644144,579.114902,561.577551,583.0526733,581,615.064,618.5502703,616.9898,640.4756863,684.2024528,687.3726316,699.8146154,750.4254962,723.3442442,720.9026829,726.8898276,742.8174658,782.9493548,758.5040123,773.74625,792.1502609,801.7559777,789.9499115,803.1977215,841.9931343,751.7582787,736.4956552,754.3757764,747.4703378,803.6664744,767.0274016,855.5319014,838.6148462,838.4182895,872.783945,899.1509565,924.5480645,934.3668519,950.3851351
Porta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,523.2865833,517.0641667,522.7000787,552.5615493,545.8569091,556.5018803,542,577.5248,536.6560185,574.3831,617.2183929,672.6352899,654.5830909,640.9529012,670.4313235,682.828255,675.0772671,713.9393909,712.1165789,723.3426797,722.8006818,775.2794118,749.1681818,756.7910667,690.3920833,725.8831034,759.2843966,723.5677477,707.1695556,698.5459286,712.8194964,740.4000735,718.5190756,728.5253788,765.714065,808.0444586,811.5414912,841.2266667,842.0656436,855.0834343,860.2332381
el Turó de la Peira,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,475.0595652,461.2496739,459.4247222,501.0571429,455.9635294,485.4020755,509,555.1772,537.932973,547.652,538.1046479,582.123375,587.0179012,600.8403704,613.7969231,653.5167708,665.3618478,668.1591589,682.6741935,692.0522727,685.2509901,702.3925,690.0247917,710.7496117,686.3624691,721.315,712.8095062,681.2793269,687.2019643,671.7841346,681.7868889,691.8660674,662.8462887,709.77625,760.5014667,781.2277273,712.0798649,781.7964773,767.6677586,811.3589091,830.8226923
Can Peguera,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,241.9853333,295.3942857,145.4454545,-,-,-,-,-,-,-,-,301.8175,-,407.2216667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
la Guineueta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,613.5849057,613.1428571,607.7397674,620.8284507,626.2333333,562.4532727,555,538.099,589.2040541,613.9551,632.285,666.8269643,634.5443478,632.4344776,625.2322222,693.3963636,685.0542857,724.2515534,732.8584524,708.4111828,751.0283784,723.1316667,721.11,783.0232258,735.4009877,686.5658,771.3994828,750.2052239,691.5908571,698.2648,653.2142373,664.2380303,644.7204545,748.8218358,816.036962,825.432381,879.9590698,833.915098,816.715,851.4891304,920.4988732
Canyelles,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,563.3333333,474.2857143,532.6666667,566.3636364,-,575.8333333,558,598.0367,619.8523077,621.4286,648.75,617.52,689.6153846,677.5,701.5,656.1538462,714.6828571,661.875,715.4545455,774.375,791.8721429,756.3888889,714.4444444,722.5,778,-,833.3333333,756.1013043,762.4844444,673.75,769.86,763.331,655.028,851.2592857,-,866.9090909,822.7777778,845.6153846,737,897.0833333,1006.666667
les Roquetes,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,461.2813115,448.6044776,444.2942466,450.3990141,461.891791,466.8852459,476,448.625,455.6528571,475.408,512.3414286,523.0151563,504.3090323,505.9744048,560.5585294,565.1821127,605.4140789,575.7142857,638.1398214,595.8088235,636.075,625.3269737,612.2784906,610.4637681,636.8387097,633.7523529,626.9880769,651.3079452,643.6096774,608.6768421,628.6898765,605.5057627,641.2159677,632.9130435,676.1328571,711.2832394,693.4822034,728.7142857,746.97,789.0315,819.4915254
Verdun,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,503.4680851,465.5645313,484.9793443,502.4105,469.8252632,419.7891667,506,503.3498,539.5901639,526.1937,495.5238776,565.8862712,595.4782609,579.6680556,593.6414035,600.3678788,624.705,628.7988571,618.9086111,649.2247368,633.2356962,653.3365079,696.077561,668.7373016,675.3656061,603.919697,692.2068966,644.377,631.6459677,648.9046269,666.6019231,647.7233962,652.7351429,608.9846591,660.1017308,675.8306452,683.8707813,770.8566154,761.7855319,829.9826316,713.4193478
la Prosperitat,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,521.814386,501.40392,479.4841525,515.9926866,515.4891304,531.2723729,544,528.6967,518.0154545,550.3124,584.5299145,589.23952,624.577549,617.6098305,625.6614754,641.2088966,634.2958333,657.4290964,667.7165354,698.0765101,677.4144375,673.6744444,696.3107438,692.4917986,714.7793913,707.8052778,712.1091935,673.8233333,671.798662,680.9139394,669.5352756,683.8946154,687.1696522,693.3188889,731.2618919,779.7313043,767.9540496,797.0545045,783.6747126,795.183038,837.3864948
la Trinitat Nova,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,442.9411765,449.3055556,416.6521739,420.9816129,433.813913,456.7144,466,438.9134,423.1823684,450.8505,419.48,438.6455556,540.6818182,533.3033333,538.448125,551.2162162,592.7272727,574.1486111,584.7297297,575.3803333,612.2916667,640.1844828,617.9448387,561.3875,565.7726471,623.75,583.77,600.2272727,605.0128571,598.5741379,610.4365625,557.0167857,591.0129167,574.8903125,661.4018182,673.168,625.927,662.2953571,653.7307143,696.3636364,747.2606897
Torre Baró,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,320.21,-,-,-,420.625,-,366.6667,392.43625,447.045,-,416.3857143,418.0655556,-,463.1666667,448.2275,-,434.52,-,-,-,-,-,-,452.0442857,-,-,-,-,-,-,-,-,-,552.6666667,-,491.8783333,-,-,-,417.4585714
Ciutat Meridiana,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,359.272,406.1666667,372.4358974,360.9375676,401.1666667,399.1923077,381,400.2944,344.2554167,427.973,373.1433333,446.1290323,459.1946667,436.1733333,423.0875758,425.5117647,507.1578947,491.8421053,514.3428571,514.516129,575.4285714,559.7941176,532.6188,572.934375,546.1112,508.4375,572.4074074,514.1175,520.2456,488.1328571,547.6558621,546.7793939,517.6891667,577.32,575.32,580.113,607.8451429,593.3680645,624.8489474,627.9428571,603.66
Vallbona,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,450,-,-,418,-,-,-,-,302.5183333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sant Andreu (Districte),-,312.6609,328.0702,361.517,353.8437,379.2953,374.6384,384.2322,398.7527,440.2157,421.0084,428.544,437.6636,440.8209,442.3631,472.398,490.4152,486.9413,522.1979,516.0989,506.9671,537.7638,584.7006,543.9829,603.0246,615.4325,613.672,639.9959,549.9712,642.13,649.68,715.67,705.6,718.1471,685.2863,743.6333,746.9664,738.07,709.9,690.76,693.74,689.03,677.06,659.25,667.07,661.6144,657.1326,659.0688,656.0608,652.77,616.4534,613.352,624.5269,599.0229,582.0945,558.6788,575.978,577.5512,561.0081,577.1374,584.5623,594.5108,598.0872,624.0398,627.509,606.0262184,635.4269,651.6283622,688.148258,659.9465945,695.4510263,726.7205182,735.6050675,736.3501813,755.3988679,775.2825411,781.7131922,787.8910828,787.5934097,798.7933282,810.8268314,790.6200431,819.8397878,811.071411,781.4452747,757.7753426,757.8362369,768.8122105,772.5275754,779.0951969,794.5701282,846.4079242,893.5493898,878.5384039,876.6008255,940.7061181,958.704564,939.8763434
la Trinitat Vella,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,461.097561,407.2641463,419.1170588,400.7575758,383.6166667,464.954359,449,455.875,422.3688095,483.2223,459.8432432,552.8075,497.8364103,434.9148,532.3324324,535.9175,589.0217391,598.2941176,597.9310345,564.5597917,601.1773333,614.6818182,569.8632353,622.2857143,605.014359,701.0416667,668.4820588,609.9586486,625.0551111,592.4375,585.0336842,626.5566667,616.9182051,620.0014286,668.030303,678.2309302,692.5707143,674.7357895,708.7863636,770.3339394,723.96
Baró de Viver,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,231.400625,-,-,303.79625,362.9442857,187,-,142.3357143,-,256.4471429,-,-,-,-,-,-,-,-,673.6914286,-,-,-,-,584.1183333,-,-,-,-,447.51,-,616.7333333,-,-,-,-,-,-,-,-,-
el Bon Pastor,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,488.1381579,476.31,503.9348889,514.575,504.2691892,526.1195455,577,539.291,472.388125,588.233,558.4190909,555.1225,622.8164286,647.6944444,653.7194286,576.9675,658.6317647,687.5519231,693.6919048,696.0565,705.7748837,659.1892105,654.3352941,713.382093,725.8301887,759.5227778,737.952381,688.9474419,658.9087234,741.9189189,644.10525,696.8463415,702.605122,732.6277778,776.7634884,749.1013953,691.3944444,601.3795385,842.137931,839.2696078,679.1972464
Sant Andreu (Barri),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,581.1552434,573.1249398,593.2170588,557.10084,585.9772857,609.5543363,631,622.9394,624.7505929,663.308,658.4947107,690.64,708.595206,728.0855789,744.7329167,751.9492258,744.8194828,752.6591641,777.0606309,782.1481953,795.2622222,800.9044523,805.0129555,819.2711182,798.9246237,835.3394074,825.9047154,793.9880608,762.5137333,757.2412941,792.905,754.025193,800.9071831,788.1859851,855.5529545,840.7457143,868.7964979,883.9376955,944.9925962,956.0786111,957.508692
la Sagrera,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,626.2564935,622.709635,570.3559322,616.2727333,619.1574219,608.6195758,637,682.4382,658.1181301,619.9883,670.18725,709.1114504,575.2286184,656.7105357,692.4936095,732.2277778,734.4451678,798.3900552,783.0900538,798.3170313,807.6327322,807.5270811,827.1175658,829.0702778,777.2450746,809.5111538,795.0229008,766.560473,759.2758986,737.4101754,772.7737118,798.5916585,751.4732692,803.5283019,850.698125,1022.513496,961.3945833,925.6626429,984.9985294,1013.258411,1016.515743
el Congrés i els Indians,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,563.4209859,556.2592593,596.6323171,607.7662338,595.4298246,594.2881356,636,618.8732,613.7096774,635.8073,691.9473684,662.2545455,696.0379747,724.2843056,761.1919444,742.8863953,754.0885393,751.1625263,787.7802198,804.738913,772.3404255,782.6623377,805.8974359,816.6978481,815.4925373,788.197027,834.2328767,779.384023,756.8534314,791.3388889,751.8895604,799.2122449,795.7694595,784.2659036,869.1332895,876.1771429,864.3792405,920.1522059,982.6272222,966.2235556,970.5084906
Navas,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,613.4653465,590.1651613,635.1113281,647.8437168,665.8942623,650.76125,685,688.3551,665.3368041,704.4499,712.3249495,768.655534,716.7754545,783.8774219,790.186963,805.0965359,790.1990141,797.7984615,823.7393388,840.0090446,855.2758407,836.9355263,864.5925472,856.7830882,872.9955085,898.4969697,858.4148361,846.2684459,824.1941096,827.1533775,805.2878523,825.38832,847.2229825,878.3538655,890.0347788,917.9933333,920.1303922,971.1037383,964.5493617,1056.1,1041.187558
Sant Martí,Districte,324.7735,326.785,344.8026,370.2011,363.0974,368.9668,394.3918,447.8777,534.0705,438.905,460.9496,450.191,442.0024,468.0405,503.9302,517.6698,499.6606,528.1237,552.5164,543.7387,565.2272,604.6565,604.0865,641.0921,631.5786,700.0431,673.0895,718.5077,719.63,726.82,717.03,757.14,751.4028,766.4534,789.5203,773.726,763.35,719.71,749.17,728.67,735.48,733.29,727.19,716.41,706.675,699.9038,709.6642,705.4035,695.0355,696.4801,652.3728,655.4249,641.8214,644.1613,628.5047,635.3954,639.8561,637.5634,635.0428,650.0615,659.87,694.475,720.0736,722.7917,724.5265876,753.9783,789.9867957,812.6602649,834.2106507,827.6197587,849.3804658,856.2809019,858.587754,900.0540991,866.1213528,913.9165149,905.8428926,949.4173854,948.4363603,963.5612897,954.0769401,915.3326872,934.9087865,910.9212128,880.4400118,855.154557,909.6813612,911.8951961,908.0550562,968.0143928,1037.257529,1073.82889,1084.254905,1064.669729,1138.058791,1124.029081,1140.302795
el Camp de l'Arpa del Clot,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,580.0897143,592.6280899,604.8257875,615.6116788,615.4571364,624.2366135,669,660.7208,659.5842857,690.838,715.5241923,720.3909247,756.5707326,765.736,797.6950495,789.5939067,785.8760937,806.9729919,827.4469714,851.5771989,845.2531013,844.2505143,879.4908247,857.9330435,887.3077113,853.8128488,894.1691034,817.6826791,814.5448737,795.6396685,830.8195652,842.1266869,841.4697315,875.1151961,916.2850714,944.6200331,957.059375,960.8900775,1017.814694,1010.467609,1021.699729
el Clot,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,604.8482222,641.1132576,607.6165101,643.7471515,618.5677119,636.9705405,673,672.1111,645.4193162,688.8531,708.7987879,728.8680537,774.967234,740.9140123,775.2708383,777.2120297,774.3172222,815.8222751,815.103865,835.5468824,828.7762644,829.4444156,899.1188816,871.6172024,865.7738462,890.8639773,869.0812081,870.7807831,853.5735965,786.4169022,822.2024342,833.8023977,861.1912587,883.9569536,936.363254,935.3295092,990.459078,1030.493419,999.9968085,1105.33959,1085.740787
el Parc i la Llacuna del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,704.6748611,678.2306173,739.944,634.1235484,722.228,755.435443,774,737.3119,799.6303636,759.0787,839.075679,886.6634091,850.7267,907.1359302,905.241573,916.3268817,916.3068,1198.769823,897.667449,938.5890816,950.8077419,1066.578492,959.5781897,1072.8006,969.0563529,975.71,1006.276125,952.2022449,927.5312295,911.0828829,1024.373333,1040.667528,1089.183364,1173.241181,1169.331538,1168.393295,1210.645833,1226.186667,1220.503108,1328.716481,1323.112794
la Vila Olímpica del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,926.4280556,988.8876087,1121.060606,991.0568421,1093.141071,1116.304348,1173,1015.0971,1136.003784,1151.4802,1142.757381,1285.612245,1108.372093,1345.625625,1189.263158,1349.816901,1272.257931,1288.913793,1284.3,1292.226724,1304.037037,1444.616,1332.441176,1357.818182,1427.54717,1446.111111,1346.730159,1332.393115,1298.89913,1248.557821,1343.124,1364.678246,1305.044355,1442.563,1499.494468,1484.291695,1472.378667,1552.745455,1481.342105,1471.589744,1660.033778
el Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,663.9329944,644.0136548,652.2272362,658.0079327,682.83975,711.4551613,764,773.5168,719.1178218,785.1146,828.6080488,840.7569767,868.9013964,899.8881893,917.8664414,911.115979,913.2948897,960.9875465,1006.814728,970.637363,952.5491459,996.6525746,1024.268101,1051.290632,1037.009623,987.0885217,1006.90166,974.6608846,928.5319192,912.3897857,971.2622333,970.6666547,967.9315385,1085.622314,1104.191255,1155.312339,1111.303274,1152.028798,1211.333763,1234.349,1307.216098
Diagonal Mar i el Front Marítim del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,866.7007353,817.9325532,896.4223913,1130.29381,914.7505556,981.8565152,1023,1211.012,1004.510439,1116.0853,1268.482083,1181.153611,1148.199889,965.3620455,1093.335778,1233.009878,1164.842527,1371.144265,818.5531765,1307.790238,1231.190404,1388.111781,1409.445821,1498.557439,1233.191461,840.8748,1074.38022,1392.636889,978.358169,948.2837405,1162.898395,1205.257848,964.6986047,1238.712615,1354.937288,1473.747927,1488.094,1400.592857,1288.465506,1319.469024,1294.828148
el Besòs i el Maresme,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,516.9012658,480.687907,423.4475,504.1903846,512.8923077,505.9726563,516,492.1047,506.6970313,521.0792,556.4532258,571.5977333,588.902381,606.6124706,625.1284043,621.3221429,682.3169643,649.1691,699.0563303,711.6713402,694.7655882,844.5338384,728.342,693.7847368,749.7390361,696.9111765,801.505618,731.5830275,704.2415957,700.8475962,736.1021782,700.5306667,796.8741111,779.2242,761.4150467,780.5466667,807.6485263,746.8926471,794.6954545,774.3591379,853.4401852
Provençals del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,635.6984706,643.4634177,630.2898592,649.2142857,612.1080519,670.3831579,679,685.3489,758.8098684,727.8138,856.576962,987.1835185,999.6200971,941.1571287,933.9017308,864.0947059,957.0199242,913.6619,928.0181356,999.6276042,959.154381,960.1323423,996.3721111,1013.640179,1000.121279,1076.553571,956.7861682,859.8845714,976.7242105,884.8065217,962.6590244,977.7725253,939.1881308,1032.882857,1059.427184,1062.399754,1170.536915,1204.218415,1091.726296,1152.173521,1123.136322
Sant Martí de Provençals,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,643.6604762,641.7507447,614.5482979,636.3,662.2534444,697.31775,672,666.8418,688.4878899,679.2548,716.1658889,720.7362637,742.0588235,750.71184,776.0904587,790.5799153,751.4751538,797.5386047,803.490354,823.4649123,840.1572656,844.0598291,829.7280357,835.6773636,863.0276316,854.2765957,822.3984375,807.4266667,794.6104724,799.6892857,804.1858929,826.1590845,796.4099048,843.0454701,1158.863798,998.0303906,925.3151402,960.8736842,997.6580189,1017.035532,1028.017339
la Verneda i la Pau,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,568.6763768,569.1397778,569.8405814,552.5784722,609.2231429,595.4242424,633,602.1882,597.8933766,613.2129,617.0078409,591.8589855,677.9097403,671.8728972,711.9873958,692.6665591,715.3698795,719.5453125,767.0996939,756.0975472,764.6212,798.1036735,770.2478125,781.0259551,765.321519,767.46,782.4018447,765.9140816,740.8374257,728.181573,752.9293636,752.0239241,733.931068,757.0218812,775.7689655,1112.104912,1148.441892,991.0926347,996.7577686,1002.728784,1001.287396